,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
6907,Plein cœur de la croix rousse,Laurent,"Lyon, France",within a day,f,1.0,t,45.7800793,Entire rental unit,4,1.0,53.0,30,2,30,30.0,12,125,15,2024-10-18,4.58,4.86,f,1,0
6908,Superbe appartement Croix Rousse,Jean,"Lyon, France",within an hour,f,1.0,t,45.772958016601,Entire rental unit,4,2.0,,365,4,365,365.0,0,0,11,2024-12-08,4.87,4.77,f,1,0
6909,Studio au cœur de Lyon - Opéra,Noah,"Lyon, France",,f,1.0,t,45.7692056881457,Entire rental unit,3,1.0,,365,365,1125,1125.0,0,0,0,2023-01-23,4.8,5.0,t,1,0
6910,Appartement 10 min à pied gare Part Dieu,Jeanne,"Lyon, France",within a few hours,f,1.0,t,45.76534,Entire rental unit,4,1.0,,1125,1,1125,1125.0,0,0,0,2023-12-10,4.67,5.0,f,1,0
6911,Cosy Duplex Lyon 8. Hôpitaux est,Pauline,"Lyon, France",within an hour,f,1.0,t,45.73208,Entire rental unit,4,1.0,80.0,1125,5,1125,1125.0,36,90,6,2024-09-15,4.86,4.71,f,1,0
6912,Charmant appartement avec vue idéal pour couple,Philippine,"Brest, France",,f,2.0,t,45.76386,Private room in rental unit,2,2.0,,1125,1,1125,1125.0,0,0,0,,,,f,0,0
6913,L'appartement du chat,Charles,"Lyon, France",a few days or more,f,1.0,t,45.7576205810294,Entire rental unit,4,1.0,90.0,5,1,5,5.0,57,87,7,2024-09-13,4.67,4.89,f,1,0
6914,Logement Lyon Mermoz - Métro D,Laureen,"Lyon, France",,f,1.0,t,45.7249679,Entire rental unit,4,1.0,,365,1,365,365.0,0,0,0,2023-09-24,5.0,5.0,f,1,0
6915,Chambre privée en centre-ville,Marie,"Paris, France",,f,2.0,t,45.7767341,Private room in rental unit,3,2.0,,365,1,365,365.0,0,0,0,,,,f,0,0
6916,chambre calme à la Croix rousse,Philippe,"Lyon, France",,f,1.0,t,45.7803,Private room in rental unit,2,1.0,55.0,21,2,21,21.0,59,89,4,2024-06-27,4.89,5.0,f,0,0
6917,Logement entier Lyon - Métro D,Romain,"Lyon, France",,f,1.0,t,45.7249702300775,Entire rental unit,4,1.0,,365,2,365,365.0,0,0,0,,,,f,1,0
6918,Charmant appartement Lyon 6,Diane,"Lyon, France",,f,1.0,t,45.76827,Entire rental unit,2,1.0,,365,2,365,365.0,0,0,2,2024-06-04,4.88,5.0,f,1,0
6919,Hypercentre- parking sécurisé gratuit,Laetitia,"Saint-Cyr-au-Mont-d'Or, France",within an hour,f,1.0,t,45.7643914,Entire rental unit,4,1.0,123.0,60,365,1125,1125.0,9,145,26,2024-11-11,4.46,4.92,t,1,0
6920,Charmant appartement design Lyon centre,Pierre-Maxime,"Lyon, France",within an hour,t,3.0,t,45.7482683112245,Entire rental unit,2,1.0,81.0,100,2,1125,1125.0,35,83,65,2024-12-07,4.95,4.86,f,3,0
6921,Appartement T2 Lyon,Antoine,"Lyon, France",,f,1.0,t,45.73778,Entire rental unit,5,1.0,,3,1,3,3.0,0,0,0,,,,f,1,0
6922,Charmant T2 proche métro,Célia,"Lyon, France",,f,1.0,t,45.7727205,Entire rental unit,2,1.0,,4,2,4,4.0,0,0,0,2023-12-10,5.0,4.91,f,1,0
6923,Appartement vers Grange Blanche proche T5 Eurexpo,Xavier,,within an hour,f,3.0,t,45.74848,Entire rental unit,6,1.0,160.0,365,1,365,365.0,42,330,1,2024-05-12,4.55,4.45,t,1,0
6924,Chambre privée pour 2 personnes,Cécile,"Lyon, France",,f,1.0,t,45.7688549163282,Private room in rental unit,2,,,3,1,3,3.0,0,0,0,,,,f,0,0
6925,Appartement cocooning sur Lyon,Emilie,"Belfort, France",within a day,f,1.0,t,45.78031,Entire rental unit,5,3.0,,6,2,6,6.0,59,89,0,2023-10-01,4.0,5.0,f,1,0
6926,Le Soyeux - Superbe canut quai de Saône,Romain,"Lyon, France",within an hour,,104.0,t,45.76634,Entire rental unit,4,1.0,,1125,1,1125,1125.0,0,0,9,2024-04-01,4.26,4.7,f,52,0
6927,Palatine Rhône Appartement - PRA,Claire,"Lyon, France",,f,1.0,f,45.7451068317193,Entire rental unit,2,1.0,,730,365,730,730.0,0,288,1,2024-06-26,5.0,5.0,t,1,0
6928,Bel Appartement Bord de Saône,Thibaud,"Lyon, France",within an hour,f,1.0,t,45.7993267,Entire rental unit,4,1.0,116.0,30,7,30,30.0,48,58,0,2023-03-31,5.0,5.0,f,1,0
6929,Grand appartement avec WIFI et Netflix,Christine,"Lyon, France",within an hour,t,3.0,t,45.7721398,Entire rental unit,2,1.0,78.0,30,6,1125,1125.0,52,100,55,2024-12-09,4.96,4.77,f,3,0
6930,Vue Place des Terreaux,Catherine,,within a few hours,t,1.0,t,45.7674899,Entire rental unit,6,2.0,223.0,365,2,365,365.0,36,101,67,2024-11-22,4.99,4.94,f,1,0
6931,Le Terreaux - Hyper centre de Lyon,Lucas,"Lyon, France",within an hour,t,32.0,t,45.76875,Entire rental unit,4,1.0,78.0,150,2,1125,1125.0,37,171,77,2024-11-30,4.85,4.86,f,10,0
6932,Appartement lumineux - Jean Macé,Ludovic,"Lyon, France",within a few hours,f,1.0,f,45.7430143088707,Entire rental unit,2,1.0,85.0,60,2,60,60.0,5,5,0,2023-06-29,4.8,4.6,f,1,0
6933,Central Confort - Free Parking,Isabelle,"Lyon, France",within an hour,,4.0,t,45.7677302,Entire rental unit,2,1.0,66.0,30,2,1125,1125.0,35,162,14,2024-12-01,4.52,4.92,t,2,0
6934,Appartement à deux pas du parc,Arthur,"Lyon, France",within a day,f,1.0,t,45.77225,Entire rental unit,5,2.0,204.0,365,1,365,365.0,59,89,0,,,,f,1,0
6935,Appt familial vue exceptionnelle,Lola,"Lyon, France",,f,2.0,f,45.7646946,Entire rental unit,6,3.0,180.0,21,3,21,21.0,0,0,2,2024-05-12,4.67,5.0,f,1,0
6936,Magnifique cocon spacieux dans un quartier calme,Jean-Charles,"Lyon, France",within an hour,f,1.0,t,45.74028,Entire rental unit,4,1.0,,365,2,1125,1125.0,0,0,20,2024-10-11,4.79,4.51,t,1,0
6937,Chambre privée dans un appartement Canut,Julien,"Lyon, France",within a few hours,t,1.0,t,45.7701792968437,Private room in rental unit,2,1.0,56.0,3,1,3,3.0,0,80,9,2024-12-08,5.0,4.85,f,0,0
6938,Appartement Anatha - Welkeys,Welkeys,"Paris, France",within an hour,f,153.0,t,45.7677557,Entire rental unit,4,1.0,103.0,1125,2,1125,32.5,36,336,3,2024-06-21,4.4,4.93,t,14,0
6939,Cosy & Chic / Lyon Sud - Prox. centre - 20 min,Sami,"Villeurbanne, France",within an hour,f,1.0,t,45.72678,Entire rental unit,3,1.0,57.0,730,1,1125,1125.0,4,6,69,2024-12-08,4.79,4.58,t,1,0
6940,"Appartement, vue sur Saône",Clément,"Toulouse, France",a few days or more,f,2.0,t,45.7789326,Entire rental unit,2,1.0,59.0,40,3,40,40.0,0,227,1,2024-01-08,3.81,4.81,f,1,0
6941,Authentique Home Vieux Lyon,Pierre,"Lyon, France",within an hour,t,3.0,t,45.7650763,Entire rental unit,5,2.0,85.0,730,3,730,730.0,27,304,65,2024-12-10,4.81,4.91,t,2,0
6942,L'échappée Lyonnaise/ Hyper centre/ Palais Grillet,Vincent,,within an hour,f,1.0,t,45.7623366,Entire rental unit,2,0.0,81.0,1125,2,1125,1125.0,56,361,50,2024-12-05,4.62,4.92,f,1,0
6943,location fête des lumières,Yassine,"Lyon, France",a few days or more,f,1.0,t,45.76795,Entire rental unit,4,1.0,169.0,365,1,365,365.0,59,364,0,,,,f,1,0
6944,Appartement chaleureux calme et agréable,Jonathan,"Lyon, France",within a day,f,1.0,t,45.78318,Entire rental unit,6,3.0,250.0,15,2,15,15.0,60,365,0,2023-09-25,3.67,4.33,f,1,0
6945,Appartement de Christopher,Ardito-Christopher,"Lyon, France",within a few hours,f,1.0,t,45.7532759,Entire rental unit,2,1.0,85.0,30,1,30,30.0,56,176,27,2024-12-08,4.82,4.85,f,1,0
6946,Grand appartement charme ancien centre,Mélodie,"Lyon, France",within a few hours,f,1.0,t,45.75559,Entire rental unit,2,1.0,85.0,120,2,120,120.0,27,48,4,2024-12-09,4.8,4.2,f,1,0
6947,Belle et spacieuse chambre,Christelle,"Lyon, France",within an hour,t,2.0,t,45.72951,Private room in condo,2,1.0,47.0,31,1,31,31.0,50,67,12,2024-11-22,5.0,4.5,f,0,0
6948,Spacious and bright 70m² square AIL,Jean-Noël,,within an hour,f,1.0,t,45.7547046,Entire rental unit,4,1.0,85.0,1125,4,1125,659.4,42,162,14,2024-11-15,4.45,3.9,f,1,0
6949,Appartement Lyon 6 Foch,Kamelia,"Lyon, France",a few days or more,f,1.0,t,45.77218,Entire rental unit,2,1.0,112.0,730,3,730,730.0,30,67,2,2024-06-04,4.91,5.0,f,1,0
6950,Beau duplex à Lyon,Gaëlle,,within an hour,f,4.0,t,45.78441,Entire rental unit,4,1.0,60.0,365,365,1125,1125.0,0,179,6,2024-11-22,4.38,4.62,f,3,0
6951,Le petit Pradel-studio cosy-Opéra Hôtel de Ville,David,"Lyon, France",within an hour,f,134.0,t,45.7683676,Entire rental unit,2,1.0,52.0,1125,31,686,503.4,56,361,6,2024-10-08,4.28,4.89,t,83,0
6952,"LaBolla, cozy retreat for 2 w/ spa, heart of Lyon",Damien,"Lyon, France",,f,177.0,t,45.7611009109661,Entire rental unit,2,1.0,122.0,365,1,999,999.0,48,168,37,2024-12-03,4.6,4.82,t,107,0
6953,T2 proche Gare Part Dieu,Anjélika,"Lyon, France",within an hour,t,1.0,t,45.7628100657375,Entire rental unit,2,1.0,,1125,1,1125,1125.0,0,0,29,2024-11-11,4.91,4.78,f,1,0
6954,2 pièces proche centre Lyon,Eric,"Lyon, France",within an hour,t,1.0,t,45.7360193,Entire rental unit,2,1.0,49.0,365,2,365,365.0,28,231,70,2024-12-06,4.68,4.52,f,1,0
6955,Joli Duplex à Vaise,Gaëlle,,within an hour,f,4.0,t,45.78654,Entire home,4,2.0,53.0,365,2,1125,1125.0,21,21,5,2024-10-22,4.46,4.69,t,3,0
6956,Apparement au cœur confluence,Safa,"Lyon, France",within an hour,t,1.0,t,45.7401154,Entire rental unit,4,1.0,151.0,365,1,365,365.0,60,365,13,2024-12-01,4.97,4.91,t,1,0
6957,Superbe chambre appart dans résidence avec parking,Marie,"Lyon, France",within an hour,f,3.0,t,45.7525308,Private room in rental unit,1,1.0,40.0,1125,1,1125,1125.0,60,365,0,2023-10-12,5.0,5.0,f,1,0
6958,Appartement centre Lyon,Marine,"Lyon, France",within an hour,t,1.0,t,45.7613853,Entire rental unit,3,2.0,122.0,365,2,365,365.0,5,5,11,2024-11-24,5.0,4.95,f,1,0
6959,Chambre à Lyon Croix Rousse,Margaux,"Paris, France",within a few hours,f,1.0,t,45.77721,Entire rental unit,2,1.0,118.0,30,2,30,30.0,2,2,1,2024-07-23,5.0,5.0,f,1,0
6960,Appartement quai de Saône,Valerie,,a few days or more,f,2.0,t,45.7665361,Entire rental unit,3,1.0,83.0,15,1,15,15.0,60,365,10,2024-06-27,4.33,4.78,f,1,0
6961,Studio Cosy chez Mila,Mila,"Thizy-les-Bourgs, France",within a few hours,f,1.0,t,45.72883,Entire rental unit,1,1.0,65.0,30,7,1125,1125.0,52,130,1,2024-07-26,2.0,5.0,t,1,0
6962,Le Trois Maries - Cozy Apartment - Lyon 5th,Axel,France,within an hour,f,41.0,t,45.7625846,Entire rental unit,4,1.0,53.0,1125,30,944,761.4,40,178,3,2024-06-23,4.33,5.0,t,21,0
6963,Appartement,Enzo,,,f,1.0,t,45.75134,Private room in rental unit,2,1.0,66.0,365,1,365,365.0,59,364,0,,,,f,0,0
6964,Hyper-centre flat close to Place des Jacobins,Lorenzo,"Lyon, France",,f,1.0,t,45.7595365438651,Entire rental unit,2,1.0,200.0,1125,3,1125,1125.0,0,31,0,2023-05-29,5.0,5.0,f,1,0
6965,"Bel appartement calme, familial",Benjamin,"Lyon, France",within an hour,t,2.0,t,45.7312874,Entire rental unit,6,3.0,130.0,365,3,365,365.0,3,11,9,2024-07-21,4.07,4.8,f,1,0
6966,Appartement atypique à Part Dieu,Bruno,"Lyon, France",within an hour,f,2.0,t,45.7565839,Entire rental unit,2,1.0,75.0,720,1,720,720.0,60,365,21,2024-12-06,4.72,4.69,f,2,0
6967,Cosy pour un week-end ou déplacement pro,Guillaume,"Lyon, France",within an hour,,55.0,t,45.7473636,Entire rental unit,2,1.0,54.0,1125,3,1125,33.8,0,64,4,2024-11-20,4.62,4.85,f,22,0
6968,"-Red Pearl - Comfort, trends and traditions.",Sophie,,within an hour,t,1.0,t,45.7774902,Entire serviced apartment,4,0.0,89.0,90,2,1125,1125.0,50,355,20,2024-11-22,4.76,4.92,t,1,0
6969,Agréable appart proche du métro,Kadidja,"Lyon, France",within a few hours,f,13.0,t,45.7672460353502,Entire rental unit,5,2.0,,1125,365,1125,1125.0,60,180,4,2024-06-24,4.18,4.64,f,2,0
6970,Nid Douillet Chic HyperCentre,Brice,"Lyon, France",within an hour,f,46.0,t,45.7667502,Entire rental unit,2,1.0,60.0,30,2,1125,1125.0,2,2,9,2024-11-26,4.6,4.89,t,35,0
6971,Studio a Lyon 6 à  louer.,Fadhel,"Saint-Priest, France",,f,1.0,t,45.75069,Entire rental unit,2,1.0,60.0,365,30,365,365.0,60,365,0,,,,f,1,0
6972,Studio au cœur de Confluence,Jean-Charles,,within a day,f,1.0,t,45.74347,Entire rental unit,2,1.0,69.0,31,2,31,31.0,7,261,24,2024-11-13,4.89,4.98,f,1,0
6973,Maison 88m2 à Lyon 8ème au calme,Gaël,,within a day,f,1.0,f,45.7249812234825,Entire home,4,2.0,83.0,180,30,1125,1125.0,60,365,0,,,,t,1,0
6974,Zen,Stephanie,"Frontonas, France",within an hour,f,10.0,t,45.7440477370701,Entire rental unit,2,0.0,50.0,5,1,1125,1125.0,43,73,35,2024-11-17,4.55,4.53,t,6,0
6975,Room with a view In the heart of Lyon Cx Rousse !,Gaëtan,,within an hour,f,1.0,t,45.779,Private room in rental unit,2,1.0,60.0,6,2,1125,1125.0,15,15,0,2023-12-10,4.67,4.83,t,0,0
6976,Atypique  Croix Roussien,Rem,"Craponne, France",within an hour,,13.0,t,45.77588,Entire rental unit,2,1.0,45.0,365,3,1125,1125.0,35,245,47,2024-12-08,4.41,4.89,f,3,0
6977,Stunning apartment in the center of Lyon !,Amaury,"Geneva, Switzerland",within an hour,t,4.0,t,45.75791,Entire rental unit,6,2.0,267.0,365,2,1125,1125.0,39,318,14,2024-10-22,4.8,4.86,f,1,0
6978,Appartement entier avec vue incroyable et parking,Vincent,,within an hour,t,5.0,t,45.7417612,Private room in rental unit,4,1.0,106.0,365,2,365,365.0,59,308,26,2024-12-01,4.96,4.88,t,0,0
6979,"Charming equipped one-beds, Perrache/Confluence",Damien,"Lyon, France",,f,177.0,t,45.74663,Entire rental unit,2,1.0,54.0,1125,2,1125,1125.0,46,256,34,2024-11-23,4.77,4.72,f,107,0
6980,Cocoon du vieux Lyon - Luxury apartment - Balneo,Remy,"Lyon, France",within an hour,t,2.0,t,45.765013,Entire rental unit,4,1.0,144.0,365,2,365,365.0,34,286,70,2024-12-14,4.9,4.97,f,1,0
6981,Joli appartement - Lyon,Florent,"Villeurbanne, France",within a few hours,t,1.0,t,45.7460089926067,Entire rental unit,2,0.0,51.0,15,2,15,15.0,26,61,21,2024-11-24,4.52,4.7,f,1,0
6982,Très belle chambre vue sur le Rhône parking privé,Claude,"Lyon, France",within a few hours,t,3.0,t,45.75448,Private room in rental unit,4,1.0,165.0,365,1,365,365.0,0,166,37,2024-12-08,4.64,4.95,f,0,0
6983,3# Canapé-Lit à proximité de Jean-Macé,Alexandre Amine,"Lyon, France",within an hour,t,5.0,t,45.7399899974563,Shared room in rental unit,3,,,2,1,2,2.0,0,0,12,2024-12-03,4.46,4.31,f,1,1
6984,Chambre Lumineuse dans un T2,Asma,"Lyon, France",within a day,f,1.0,t,45.7523317435488,Private room in rental unit,2,1.0,52.0,365,1,365,365.0,39,159,8,2024-11-08,4.88,4.88,f,0,0
6985,"T2, Refait à neuf à 5mn de la gare de Part Dieu",Alexis,"Paris, France",within an hour,f,5.0,t,45.765947430379,Entire rental unit,2,1.0,53.0,90,2,1125,1125.0,38,342,40,2024-12-02,4.71,4.7,t,1,0
6986,La parenthèse lyonnaise,Alessia,"Lyon, France",within an hour,f,1.0,f,45.7692780673471,Entire rental unit,2,1.0,144.0,1125,1,1125,1125.0,59,364,1,2024-09-26,4.92,5.0,f,1,0
6987,Sky Avenue - Magnifique T2 avec vue époustouflante,Agence COCOONR / BOOK&PAY,"Rennes, France",,f,3535.0,t,45.7579395,Entire rental unit,4,1.0,137.0,365,30,365,365.0,51,356,1,2024-05-06,5.0,4.0,t,43,0
6988,"Cosy ""Seze"" in Famous Sixième",Philippe,"Caluire-et-Cuire, France",,f,28.0,t,45.7687325501915,Entire rental unit,2,1.0,129.0,365,2,365,365.0,18,19,7,2024-11-03,4.52,4.84,f,14,0
6989,Urban - Esprit Loft à Lyon Part-Dieu,Business Or Leisure,"Lyon, France",within an hour,t,5.0,t,45.7570386026042,Entire rental unit,4,1.0,89.0,30,2,1125,1125.0,50,256,63,2024-12-09,4.96,4.76,f,5,0
6990,appartement Lyon 9,Cliff,,,f,1.0,t,45.7979112352777,Entire rental unit,1,1.0,62.0,30,30,1125,1125.0,60,365,0,,,,t,1,0
6991,Lyon 6 Massena : T2 entièrement climatisé rénové,Alice,"Lyon, France",within a few hours,f,41.0,t,45.7656943,Entire rental unit,2,1.0,146.0,1125,10,1125,1125.0,14,14,0,,,,f,37,0
6992,Appartement à Lyon Monplaisir,Clément,"Lyon, France",within a few hours,f,1.0,t,45.75022,Entire rental unit,2,1.0,,15,1,15,15.0,0,0,3,2024-11-27,4.86,4.43,f,1,0
6993,Immense RoofTop Lyon 3 chambres + 4 places parking,Mathilde,"Lyon, France",within an hour,,9.0,t,45.735595533522,Entire rental unit,9,3.0,243.0,30,1,1125,1125.0,1,1,69,2024-12-06,4.74,4.65,f,1,0
6994,"Chambre dans appartement familial, sans vis-à-vis",Hervé,"Lyon, France",within an hour,t,1.0,t,45.7785838,Private room in rental unit,2,1.0,32.0,365,3,365,365.0,13,60,11,2024-11-22,4.97,4.84,f,0,0
6995,Appartement lumineux à 5 minutes de Bellecour,Geoffroy,"Lyon, France",within an hour,t,1.0,t,45.75479,Entire rental unit,4,1.0,144.0,25,3,25,25.0,0,4,6,2024-05-20,4.56,4.44,f,1,0
6996,Luxurious family apartment in the heart of Lyon,Samuel,"Lyon, France",within an hour,t,2.0,t,45.7627749117474,Entire rental unit,11,5.0,320.0,30,5,30,30.0,46,308,18,2024-11-24,4.89,4.85,f,1,0
6997,Appartement climatisé gare centrale,Anthony,"Lyon, France",within an hour,f,22.0,t,45.7635789,Entire condo,2,0.0,46.0,365,3,1125,1125.0,48,353,23,2024-11-22,4.49,4.76,f,9,0
6998,Chambre de style avec vue,Claire,"Lyon, France",within a day,f,1.0,t,45.7728383113159,Private room in bed and breakfast,2,1.0,40.0,60,1,60,60.0,21,21,18,2024-05-28,4.79,4.85,f,0,0
6999,Appartement à 300m de la gare avec parking privé,Yoann,,within an hour,f,1.0,t,45.7601805468486,Entire rental unit,2,1.0,63.0,1125,1,1125,1125.0,39,333,143,2024-11-28,4.45,4.65,t,1,0
7000,Chambre 2 Pers - Salle de bain et Accès privés,Gaëtan,"Lyon, France",,f,1.0,t,45.7316559888884,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,56,2024-12-01,4.88,4.74,f,0,0
7001,Appartement élégant de 56 m² au pied du métro,Christophe,"Lyon, France",within an hour,t,1.0,t,45.7482407,Entire rental unit,4,1.0,86.0,364,5,1125,1125.0,52,222,19,2024-12-07,4.97,4.83,f,1,0
7002,Luxury Appartment Croix Rousse,Cyril,"Lyon, France",within an hour,t,1.0,t,45.7727936,Entire rental unit,4,2.0,430.0,730,2,730,730.0,48,258,8,2024-10-31,5.0,4.96,f,1,0
7003,Joli canut dans les pentes,Amélie,"Lyon, France",,f,1.0,f,45.7727277341447,Entire rental unit,2,1.0,,3,2,3,3.0,0,0,0,2023-01-22,5.0,5.0,f,1,0
7004,Le jardin de Montbrillant,Julien,"Lyon, France",within an hour,f,1.0,t,45.74957,Entire condo,4,1.0,,6,2,6,6.0,22,22,5,2024-06-24,4.83,4.83,f,1,0
7005,Grand appartement à proximité de la gare part dieu,Mathieu Et Laetitia,"Lyon, France",within an hour,t,1.0,t,45.7586819831757,Entire rental unit,13,3.0,661.0,365,2,365,365.0,13,175,21,2024-12-08,4.93,4.76,f,1,0
7006,Spa Enzo appartement avec jacuzzi privatif,Homeira,"Villeurbanne, France",,f,1.0,t,45.7546896,Entire rental unit,2,1.0,,1125,365,1125,1125.0,55,359,0,2023-10-07,4.0,3.0,t,1,0
7007,Appartement avec mezzanine proche Croix-Rousse,Anaïs,"Lyon, France",,f,1.0,t,45.772344,Entire rental unit,2,1.0,,1125,1,1125,1125.0,0,0,0,2023-01-22,5.0,5.0,f,1,0
7008,Au cœur du quartier Confluence,Victor,"Lyon, France",,f,1.0,t,45.7461284210986,Entire rental unit,4,1.0,,365,1,365,365.0,0,0,0,,,,f,1,0
7009,Studio indépendant(proche hôpitaux est Bron),Jerome Et Saliha,"Lyon, France",within an hour,t,1.0,t,45.750147,Private room in guest suite,2,1.0,50.0,7,1,1125,1125.0,49,354,113,2024-12-13,4.87,4.7,t,0,0
7010,Chambre de 30 m² Lyon 6,Catia,"Lyon, France",within an hour,f,1.0,f,45.7729363,Private room in rental unit,2,1.0,85.0,5,1,5,5.0,57,362,7,2024-12-08,5.0,5.0,f,0,0
7011,Isadora - Ravissant T2 au coeur de Lyon,Agence COCOONR / BOOK&PAY,"Rennes, France",,f,3535.0,t,45.762198,Entire rental unit,2,1.0,93.0,365,5,365,365.0,43,296,8,2024-12-01,4.8,4.9,t,43,0
7012,Studio rénové et fonctionnel,Philippe,"Stamford, CT",within an hour,f,1.0,t,45.732985186863,Entire rental unit,2,1.0,35.0,365,3,1125,1125.0,36,341,8,2024-08-23,4.43,4.93,f,1,0
7013,"Jardin privé, fraîcheur, calme, parking rue facile",Edouard,"Lyon, France",within an hour,t,2.0,t,45.7754875482167,Entire rental unit,4,2.0,320.0,365,1,365,365.0,33,153,34,2024-11-24,4.82,4.76,f,1,0
7014,Best view in Lyon - private garage - near Old Town,Edouard,"Strasbourg, France",within an hour,t,2.0,t,45.7659223048039,Entire rental unit,3,1.0,104.0,1125,365,1125,1125.0,50,338,55,2024-11-29,4.87,4.7,f,1,0
7015,Spacious room in charming shared flat,Maximilien,"Lyon, France",within an hour,t,3.0,t,45.7637814658788,Private room in rental unit,2,1.0,51.0,365,2,365,365.0,60,77,36,2024-12-02,4.79,4.94,t,0,0
7016,Joli t2 avec belle terrasse,Jihane,"Lyon, France",within a day,f,2.0,t,45.73636,Private room in rental unit,3,1.0,86.0,1125,1,1125,1125.0,52,312,1,2024-09-11,4.25,4.75,f,0,0
7017,Orpi Gailleton6 studio Hyper Centre Lyon Bellecour,Béatrice,"Lyon, France",within an hour,f,9.0,t,45.756615,Entire rental unit,2,0.0,63.0,90,2,90,90.0,54,84,15,2024-10-24,4.3,4.82,f,9,0
7018,Canut d’exception Croix Rousse,Eva,"Lyon, France",within a day,t,2.0,t,45.7779219,Entire rental unit,6,3.0,286.0,15,2,15,15.0,15,278,5,2024-08-08,5.0,4.82,f,1,0
7019,Hôtel Particulier Napoléon.,Xavier,"Lyon, France",,f,1.0,t,45.7581328515943,Entire home,16,7.0,2214.0,365,1,365,365.0,0,0,2,2024-08-01,4.0,4.33,f,1,0
7020,Charmant studio avec terrasse et jardin zen,Sébastien,"Lyon, France",within an hour,,10.0,t,45.7833382618206,Entire condo,2,0.0,58.0,60,2,60,60.0,31,285,14,2024-11-29,5.0,4.93,f,5,0
7021,Joli T1 tout confort / Foch 6e,Maude,,within a day,f,1.0,t,45.7653778338444,Entire rental unit,2,0.0,49.0,1125,365,1125,1125.0,60,365,0,,,,f,1,0
7022,Appartement de Montplaisir - Welkeys,Welkeys,"Paris, France",within an hour,f,153.0,t,45.7421805,Entire rental unit,4,1.0,54.0,1125,3,1125,32.5,40,298,1,2024-07-05,5.0,5.0,t,14,0
7023,Chambre avec vue place des Jacobins,Lionel,"Lyon, France",a few days or more,f,1.0,f,45.7614794724334,Private room in rental unit,3,1.0,45.0,365,15,365,365.0,37,342,0,2023-03-01,5.0,5.0,f,0,0
7024,la fermette,Assia,"Lyon, France",within a few hours,f,3.0,t,45.7243342,Entire townhouse,8,2.0,90.0,100,10,100,100.0,43,73,0,2023-08-18,4.5,5.0,f,1,0
7025,Appartement- métro Sans Souci,Anis,,a few days or more,f,1.0,t,45.74758,Entire rental unit,4,2.0,149.0,365,2,365,365.0,39,159,1,2024-06-21,5.0,4.5,f,1,0
7026,Cocon 2 pièces Lyon Croix Rousse,Clément,"Lyon, France",within a day,f,1.0,t,45.7771857529548,Entire rental unit,3,1.0,85.0,365,2,365,365.0,12,317,6,2024-10-20,4.76,4.71,f,1,0
7027,Duplex rénové avec vue panoramique sur Lyon,Sabrina,"Lyon, France",within a day,t,2.0,t,45.7706706456071,Entire rental unit,6,2.0,150.0,730,2,730,730.0,44,346,30,2024-10-27,4.85,4.89,f,1,0
7028,Superbe vue sur la Saone Face au vieux Lyon,Françoise,"Lyon, France",within a few hours,f,1.0,t,45.7552341,Entire rental unit,2,2.0,350.0,30,3,30,30.0,59,179,1,2024-04-13,5.0,5.0,f,1,0
7029,Dify Vaise - Quartier Valmy,Tiphaine & Anne,"Lyon, France",,f,48.0,t,45.77527,Entire rental unit,3,1.0,54.0,1125,3,1125,51.9,54,359,33,2024-12-02,4.48,4.79,t,35,0
7030,Chambre privée Quai du Rhône,Chloé,,,f,2.0,t,45.7537010483883,Private room in rental unit,2,,,365,1,365,365.0,0,0,0,2023-01-25,4.67,4.33,t,1,0
7031,Beautiful flat ideally located in Lyon 6,Pierre-Louis,"Lyon, France",within a few hours,f,2.0,t,45.76827,Entire rental unit,2,1.0,48.0,25,4,25,25.0,53,83,6,2024-12-11,3.85,4.62,f,1,0
7032,Duplex calme dernier étage Ainay,Quentin,"Lyon, France",,f,1.0,t,45.75364,Entire rental unit,5,2.0,,1125,5,1125,1125.0,0,0,0,,,,f,1,0
7033,Joli studio lyonnais - proche Bellecour,David,"Lyon, France",within an hour,f,134.0,t,45.7554576,Entire rental unit,2,1.0,,90,2,90,90.0,0,0,0,2023-04-28,5.0,5.0,t,83,0
7034,Cute Duplex Perrache - Civil lease,Florian,,within a day,f,7.0,t,45.7443415998911,Entire rental unit,3,1.0,37.0,1125,30,924,692.0,7,235,0,,,,f,2,0
7035,Lafayette - Part-Dieu District Apartment - Lyon,Axel,France,within an hour,f,41.0,t,45.7635789,Entire rental unit,4,1.0,59.0,1125,30,943,760.4,22,297,2,2024-09-01,4.0,4.6,t,21,0
7036,Studio centre croix rousse,Patrick,"Lyon, France",,f,1.0,f,45.7750352701965,Entire rental unit,2,1.0,48.0,365,30,1125,1125.0,0,166,0,,,,f,1,0
7037,Au cœur du Vieux Lyon,Paul,"Lyon, France",within a day,t,1.0,f,45.76223,Entire rental unit,6,2.0,153.0,365,2,365,365.0,6,12,13,2024-12-08,4.93,5.0,f,1,0
