,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
2786,Appartement chaleureux au centre de Lyon,Yan,"Lyon, France",,f,1.0,t,45.75908,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2787,LYON FÊTE DES LUMIÈRES - Chambre à Grange Blanche.,Ines,"Amiens, France",,f,1.0,t,45.74068,Private room in rental unit,2,,,2,1,2,2.0,0,0,0,2017-12-10,5.0,5.0,f,0,0
2788,Appartement T2 cosi proche Gare Part-Dieu,Clément,"Belfort, France",,f,1.0,t,45.75922,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,t,1,0
2789,T2 Rue Cuvier,Jacques,"Vitry-lès-Cluny, France",,f,1.0,t,45.7686,Entire rental unit,1,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2790,Appartement Lyon Garibaldi,Léa,"Saint-Cyr-au-Mont-d'Or, France",within a day,f,2.0,f,45.7485998694254,Private room in rental unit,1,1.0,43.0,365,2,365,365.0,58,363,0,,,,f,0,0
2791,"Nice double bedroom, near Halle Tony Garnier",Marjorie,"Lyon, France",,f,1.0,t,45.73446,Private room in rental unit,2,,,3,2,3,3.0,0,0,0,2017-12-10,5.0,3.0,t,0,0
2792,Le 98 rue montesquieu,Baptiste,"Lyon, France",,f,1.0,t,45.74991,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,,,,t,0,0
2793,Studio Vieux Lyon,Alexandre,"Lyon, France",,f,1.0,f,45.75854,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,t,1,0
2794,Un phare dans la ville,Emmanuel,,,f,1.0,t,45.78562,Private room in condo,2,,,30,3,30,30.0,0,0,0,,,,f,0,0
2795,Appartement d'architectes - 60 m -  Croix-Rousse,Elise,"Lyon, France",,f,1.0,t,45.77376,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2796,Appartement canut croix rousse,Mc,"Lyon, France",,f,1.0,t,45.77578,Entire rental unit,6,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2797,T3 Moderne et cosy dans le 7ème (50m2),Anne,"Rennes, France",,f,1.0,t,45.74883,Private room in guesthouse,2,1.0,,4,1,4,4.0,0,0,0,2019-01-30,3.25,4.25,t,0,0
2798,Chambre cozy et lumineuse dans Lyon,Aya,"Lyon, France",,f,1.0,t,45.76368,Private room in rental unit,3,,,2,1,2,2.0,0,0,0,2017-12-10,4.0,4.0,f,0,0
2799,Appartement Cordeliers,Sara,"Lyon, France",,f,1.0,f,45.76463,Private room in rental unit,2,,,5,2,5,5.0,0,0,0,,,,f,0,0
